Town,Date,Temp,Humidity,Rainfall,WindSpeed,Condition
Bamenda,2024-06-16,24.5,56,17.4,11.5,Rainy
Ngaoundéré,2024-01-07,29.9,78,7.7,5.6,Sunny
Buea,2024-03-21,23.8,76,21.4,1.1,Sunny
Douala,2024-06-23,24.9,82,18.9,2.0,Rainy
Garoua,2024-06-25,31.4,72,38.1,7.0,Stormy
Maroua,2024-01-22,22.3,51,16.4,11.6,Stormy
Buea,2024-01-14,25.2,82,44.7,14.8,Rainy
Yaoundé,2024-01-20,23.8,97,47.5,17.1,Sunny
Bamenda,2024-06-13,25.3,91,13.6,8.3,Sunny
Buea,2024-02-21,23.6,92,18.4,6.6,Rainy
Douala,2024-02-23,33.6,83,25.5,19.7,Stormy
Ebolowa,2024-02-09,29.9,90,45.6,1.0,Rainy
Bertoua,2024-05-29,31.4,74,39.7,18.8,Sunny
Bamenda,2024-06-25,27.4,77,2.3,1.7,Rainy
Bamenda,2024-03-25,28.6,63,5.9,6.3,Cloudy
Ebolowa,2024-01-11,30.7,55,8.0,17.7,Cloudy
Ngaoundéré,2024-06-15,29.1,65,33.1,7.8,Rainy
Ebolowa,2024-03-31,34.4,98,7.8,16.7,Rainy
Ngaoundéré,2024-05-08,33.6,70,49.4,16.5,Rainy
Maroua,2024-06-28,32.4,99,43.7,9.8,Stormy
Kribi,2024-03-25,34.5,59,39.6,6.8,Sunny
Ebolowa,2024-02-09,29.6,65,2.5,9.1,Cloudy
Garoua,2024-06-22,26.0,72,39.1,1.3,Sunny
Yaoundé,2024-03-15,31.1,83,39.5,17.4,Stormy
Ebolowa,2024-03-27,26.9,73,12.3,15.5,Sunny
Bertoua,2024-02-26,33.2,75,0.3,5.0,Stormy
Douala,2024-01-12,26.4,54,24.7,1.5,Rainy
Ebolowa,2024-04-17,34.7,83,34.0,8.3,Stormy
Kribi,2024-01-23,31.4,91,41.7,16.8,Cloudy
Douala,2024-06-25,23.5,77,44.7,2.4,Cloudy
Bertoua,2024-06-19,22.1,52,34.8,8.6,Stormy
Garoua,2024-05-15,34.8,61,41.2,9.4,Stormy
Douala,2024-03-17,25.6,68,36.6,17.1,Stormy
Kribi,2024-02-07,25.7,69,27.6,17.2,Rainy
Bamenda,2024-03-25,23.5,74,32.0,6.1,Rainy
Garoua,2024-04-22,34.3,79,33.8,4.1,Rainy
Buea,2024-05-12,25.1,50,19.7,10.6,Sunny
Yaoundé,2024-04-13,26.7,97,6.2,10.8,Cloudy
Bamenda,2024-03-29,22.0,85,21.8,2.9,Stormy
Ebolowa,2024-04-25,30.1,96,3.9,1.6,Stormy
Ebolowa,2024-05-24,29.9,75,40.2,2.1,Stormy
Buea,2024-03-17,33.8,79,35.0,13.3,Sunny
Yaoundé,2024-04-08,30.9,86,43.3,3.4,Rainy
Garoua,2024-05-07,28.2,69,14.4,17.1,Stormy
Yaoundé,2024-01-13,34.3,93,23.8,4.4,Cloudy
Kribi,2024-04-30,28.1,80,49.2,14.6,Cloudy
Garoua,2024-05-10,29.5,66,11.6,11.5,Cloudy
Douala,2024-01-05,22.6,81,36.9,6.0,Sunny
Bamenda,2024-06-06,33.4,67,36.8,17.8,Stormy
Garoua,2024-05-10,32.1,97,15.5,12.8,Sunny
Yaoundé,2024-01-21,30.8,58,32.5,14.4,Stormy
Buea,2024-04-27,22.2,63,13.9,11.3,Sunny
Yaoundé,2024-01-21,26.7,50,40.5,3.8,Sunny
Yaoundé,2024-02-19,22.1,81,18.8,14.8,Sunny
Buea,2024-01-01,25.2,97,9.7,7.4,Stormy
Ebolowa,2024-03-12,26.6,96,13.9,8.4,Stormy
Maroua,2024-02-06,24.5,88,10.6,15.9,Sunny
Bamenda,2024-04-09,33.8,96,22.5,16.1,Stormy
Kribi,2024-06-07,23.6,95,45.1,19.3,Rainy
Maroua,2024-04-03,28.3,50,13.3,10.9,Stormy
Maroua,2024-04-27,24.9,61,49.7,2.7,Cloudy
Ngaoundéré,2024-04-02,29.0,71,43.1,19.3,Cloudy
Ebolowa,2024-06-06,29.9,75,32.4,1.6,Stormy
Kribi,2024-06-26,24.7,83,49.0,5.1,Rainy
Garoua,2024-05-07,31.0,78,18.9,3.9,Stormy
Maroua,2024-04-20,26.0,81,28.8,10.0,Sunny
Ngaoundéré,2024-04-20,23.5,61,46.7,5.5,Stormy
Bamenda,2024-03-18,27.5,88,32.1,2.4,Sunny
Yaoundé,2024-04-25,32.6,64,6.7,4.9,Rainy
Bertoua,2024-05-10,32.0,100,29.7,9.9,Rainy
Yaoundé,2024-01-19,29.4,81,8.5,9.5,Cloudy
Douala,2024-05-01,27.8,86,7.3,13.5,Rainy
Ebolowa,2024-06-22,24.4,82,32.2,9.3,Sunny
Ebolowa,2024-01-28,25.1,65,38.7,5.1,Stormy
Bertoua,2024-03-13,27.3,90,9.1,12.3,Sunny
Buea,2024-04-19,32.2,75,7.9,2.3,Stormy
Ebolowa,2024-02-01,25.8,72,21.7,13.9,Stormy
Bamenda,2024-02-04,25.5,82,49.4,19.0,Stormy
Garoua,2024-05-03,25.7,90,46.7,18.3,Stormy
Kribi,2024-02-29,34.8,98,32.3,5.9,Cloudy
Garoua,2024-01-10,27.7,87,47.4,4.6,Stormy
Ngaoundéré,2024-05-24,23.7,52,47.0,15.6,Sunny
Buea,2024-02-20,27.0,88,40.0,1.5,Stormy
Yaoundé,2024-01-20,33.5,92,27.0,5.0,Sunny
Ngaoundéré,2024-05-14,27.1,56,25.7,2.0,Stormy
Buea,2024-02-19,23.1,55,13.4,19.5,Cloudy
Garoua,2024-03-07,34.1,98,6.2,4.7,Rainy
Kribi,2024-05-15,26.5,83,16.4,12.5,Sunny
Garoua,2024-06-25,26.6,79,49.5,17.3,Stormy
Bamenda,2024-04-21,32.8,87,27.8,3.9,Cloudy
Bamenda,2024-02-23,33.5,66,44.0,5.6,Sunny
Kribi,2024-04-15,25.1,71,43.4,9.6,Sunny
Garoua,2024-01-15,22.6,54,4.8,1.2,Sunny
Garoua,2024-01-08,32.1,59,40.5,19.5,Cloudy
Garoua,2024-01-22,31.2,100,41.1,2.4,Sunny
Bamenda,2024-06-09,33.9,89,42.2,18.9,Cloudy
Garoua,2024-01-12,27.8,87,31.5,1.8,Stormy
Buea,2024-02-19,25.8,80,48.4,8.2,Cloudy
Kribi,2024-03-02,31.0,61,47.2,4.3,Cloudy
Garoua,2024-06-13,29.0,95,28.9,8.0,Cloudy
Ngaoundéré,2024-02-17,26.9,58,28.9,11.7,Rainy
Ebolowa,2024-02-21,23.0,87,15.2,9.7,Rainy
Kribi,2024-01-20,27.0,76,47.0,15.1,Cloudy
Yaoundé,2024-05-01,22.8,52,1.8,7.2,Sunny
Garoua,2024-02-17,22.1,88,37.3,5.8,Rainy
Kribi,2024-02-29,24.4,68,5.1,15.5,Rainy
Bamenda,2024-01-07,34.0,80,12.9,3.2,Sunny
Buea,2024-05-26,31.8,70,31.3,1.8,Stormy
Maroua,2024-02-25,25.4,67,21.0,11.9,Cloudy
Ngaoundéré,2024-04-17,23.9,71,43.7,5.5,Sunny
Ngaoundéré,2024-01-14,29.7,81,5.9,17.6,Cloudy
Bamenda,2024-06-24,29.3,92,30.3,10.1,Stormy
Garoua,2024-01-09,34.6,59,48.1,11.8,Cloudy
Bamenda,2024-06-12,32.8,97,21.4,7.6,Stormy
Garoua,2024-02-01,27.5,62,35.2,7.3,Stormy
Ebolowa,2024-01-18,32.9,77,26.7,6.9,Rainy
Garoua,2024-03-12,23.5,87,40.3,8.9,Stormy
Garoua,2024-04-05,32.0,87,46.1,11.3,Stormy
Douala,2024-02-21,24.4,70,40.7,8.3,Rainy
Yaoundé,2024-04-15,29.1,59,10.4,2.7,Rainy
Yaoundé,2024-03-26,29.9,87,39.8,12.2,Stormy
Ebolowa,2024-06-08,23.7,78,24.8,2.7,Stormy
Kribi,2024-05-13,29.7,88,19.5,16.8,Sunny
Bamenda,2024-03-19,24.2,69,25.2,18.5,Sunny
Ebolowa,2024-04-06,32.2,93,36.5,18.1,Rainy
Bertoua,2024-04-27,33.5,96,8.0,18.7,Stormy
Kribi,2024-01-16,32.3,54,14.4,1.6,Stormy
Buea,2024-03-23,32.5,70,20.8,1.5,Stormy
Bamenda,2024-05-29,31.4,52,31.9,7.5,Cloudy
Buea,2024-02-25,28.9,66,20.1,14.5,Stormy
Ebolowa,2024-02-21,33.8,63,22.0,1.5,Rainy
Douala,2024-01-03,23.9,83,44.9,6.2,Rainy
Buea,2024-05-12,25.5,66,23.3,8.2,Stormy
Maroua,2024-06-08,29.6,91,9.6,7.5,Cloudy
Yaoundé,2024-06-20,25.3,62,46.8,0.9,Stormy
Kribi,2024-06-26,26.6,93,0.2,16.9,Stormy
Ebolowa,2024-03-12,31.5,73,39.9,3.5,Rainy
Ngaoundéré,2024-05-18,23.7,74,3.9,18.1,Rainy
Bertoua,2024-06-01,26.8,93,33.9,6.5,Rainy
Garoua,2024-05-09,34.1,85,27.2,15.7,Sunny
Garoua,2024-03-02,22.1,95,9.2,3.5,Cloudy
Ngaoundéré,2024-06-12,30.8,62,8.4,8.0,Stormy
Kribi,2024-04-22,34.6,55,5.7,15.2,Stormy
Ngaoundéré,2024-05-21,23.3,97,13.6,19.5,Sunny
Douala,2024-01-22,24.3,56,5.4,1.5,Cloudy
Ebolowa,2024-01-25,28.4,60,49.4,8.7,Stormy
Yaoundé,2024-03-11,30.5,78,18.6,11.9,Cloudy
Yaoundé,2024-01-24,22.7,94,34.0,19.9,Sunny
Maroua,2024-05-30,31.5,83,22.4,4.3,Rainy
Ngaoundéré,2024-05-30,23.2,95,4.2,9.9,Stormy
Ngaoundéré,2024-02-15,22.1,56,1.2,1.5,Rainy
Kribi,2024-02-06,22.4,55,41.9,3.1,Sunny
Bamenda,2024-01-17,34.8,50,4.7,2.7,Stormy
Ebolowa,2024-02-10,30.3,96,38.2,1.3,Cloudy
Bertoua,2024-06-13,22.8,57,8.7,8.3,Stormy
Bertoua,2024-04-10,25.4,94,44.8,11.5,Stormy
Bamenda,2024-01-27,34.6,56,42.9,5.4,Sunny
Yaoundé,2024-01-03,28.0,54,6.5,15.3,Stormy
Ngaoundéré,2024-02-13,27.5,93,21.1,1.6,Cloudy
Ebolowa,2024-05-11,25.5,87,5.7,17.5,Rainy
Maroua,2024-02-11,22.8,92,45.4,1.5,Stormy
Douala,2024-04-12,25.3,70,6.5,17.5,Stormy
Ebolowa,2024-03-16,29.0,57,30.3,15.6,Rainy
Bertoua,2024-04-27,30.9,85,19.2,19.3,Rainy
Ebolowa,2024-03-05,33.9,78,20.3,6.1,Rainy
Buea,2024-05-14,33.7,93,39.0,10.4,Sunny
Ebolowa,2024-03-10,27.5,82,49.9,18.6,Stormy
Bertoua,2024-05-17,27.0,83,30.3,11.2,Sunny
Ebolowa,2024-02-08,24.6,74,32.8,8.4,Rainy
Garoua,2024-06-23,28.8,100,17.7,0.7,Stormy
Kribi,2024-02-19,23.7,58,10.5,1.7,Stormy
Bertoua,2024-03-07,22.3,58,12.3,14.7,Sunny
Kribi,2024-03-02,25.6,67,7.6,4.3,Rainy
Buea,2024-05-19,26.6,80,31.4,3.5,Sunny
Buea,2024-04-05,34.7,75,44.2,16.4,Cloudy
Bertoua,2024-04-26,28.8,61,44.0,9.2,Rainy
Douala,2024-06-11,27.8,88,7.4,9.6,Cloudy
Kribi,2024-03-07,27.2,58,41.9,14.9,Stormy
Douala,2024-03-13,30.6,65,48.0,16.3,Rainy
Bamenda,2024-03-27,23.5,53,46.4,15.8,Sunny
Buea,2024-04-15,24.3,63,14.8,14.9,Sunny
Yaoundé,2024-05-09,33.8,96,23.3,10.8,Stormy
Ebolowa,2024-01-30,28.3,90,33.5,17.9,Rainy
Bamenda,2024-05-18,24.8,89,49.8,18.8,Sunny
Maroua,2024-02-14,31.6,95,34.4,6.9,Stormy
Bertoua,2024-05-25,22.1,58,1.9,1.5,Stormy
Buea,2024-03-15,24.6,62,8.3,10.2,Sunny
Garoua,2024-03-31,32.7,89,20.7,5.7,Stormy
Bertoua,2024-03-01,22.4,78,15.9,3.0,Rainy
Buea,2024-06-14,22.5,61,33.5,15.1,Sunny
Ngaoundéré,2024-04-29,29.8,71,30.7,6.7,Rainy
Ngaoundéré,2024-01-03,34.0,69,40.8,10.2,Stormy
Buea,2024-01-21,25.9,56,40.9,18.8,Stormy
Ngaoundéré,2024-02-15,29.6,64,28.4,8.5,Stormy
Garoua,2024-01-08,24.0,93,19.5,2.6,Stormy
Maroua,2024-06-06,24.5,69,17.6,11.1,Stormy
Bertoua,2024-04-04,28.6,51,21.9,3.5,Rainy
Ebolowa,2024-05-06,33.1,73,34.6,3.0,Cloudy
Bertoua,2024-03-24,30.3,89,37.6,9.3,Rainy
Douala,2024-01-20,32.6,62,17.9,11.9,Stormy
